id_ocorrencia_a;matricula;operador_categoria;tipo_veiculo;fabricante;modelo;motor_tipo;motor_quantidade;assentos;ano_fabricacao;pais_fabricante;registro_segmento;voo_origem;voo_destino;fase_operacao
39115;PTNQX;***;AVIAO;NEIVA INDUSTRIA AERONAUTICA;EMB-711A;PISTAO;MONOMOTOR;4;1979;BRASIL;PARTICULAR;BRIGADEIRO ARARIPE MACEDO;CORRENTINA;DECOLAGEM
39155;PTLVI;***;AVIAO;BEECH AIRCRAFT;C90;TURBOELICE;BIMOTOR;8;1979;BRASIL;PARTICULAR;FORA DE AERODROMO;FORA DE AERODROMO;DECOLAGEM
39156;PPPTO;***;AVIAO;AEROSPATIALE AND ALENIA;ATR-72-212A;TURBOELICE;BIMOTOR;73;2008;BRASIL;REGULAR;AFONSO PENA;ADALBERTO MENDES DA SILVA;ARREMETIDA NO AR
39158;PRLGJ;REGULAR;AVIAO;BOEING COMPANY;757-225;JATO;BIMOTOR;5;1984;BRASIL;REGULAR;FORA DE AERODROMO;FORA DE AERODROMO;SUBIDA
39176;PRMAA;REGULAR;AVIAO;AIRBUS INDUSTRIE;A320-232;JATO;BIMOTOR;184;2001;BRASIL;REGULAR;FORA DE AERODROMO;FORA DE AERODROMO;SUBIDA
39178;PTMZU;REGULAR;AVIAO;AIRBUS INDUSTRIE;A320-232;JATO;BIMOTOR;184;2001;BRASIL;REGULAR;FORA DE AERODROMO;FORA DE AERODROMO;SUBIDA
39235;PTWKN;***;AVIAO;CESSNA AIRCRAFT;A188B;PISTAO;MONOMOTOR;1;1976;BRASIL;AGRICOLA;FORA DE AERODROMO;FORA DE AERODROMO;DECOLAGEM
39275;PTYRE;***;HELICOPTERO;EUROCOPTER FRANCE;AS 350 BA;TURBOEIXO;MONOMOTOR;6;1994;BRASIL;PARTICULAR;CAMPO DE MARTE;CAMPO DE MARTE;CRUZEIRO
39295;PUFLK;EXPERIMENTAL;ULTRALEVE;***;RV-9;PISTAO;MONOMOTOR;2;2004;BRASIL;EXPERIMENTAL;FORA DE AERODROMO;FORA DE AERODROMO;APROXIMACAO FINAL
39315;PTHLE;***;HELICOPTERO;HELIBRAS;HB-350B;TURBOEIXO;MONOMOTOR;6;1981;BRASIL;TAXI AEREO;FORA DE AERODROMO;LABREA;CRUZEIRO
39316;PPGMH;***;AVIAO;AERO BOERO;AB-115;PISTAO;MONOMOTOR;2;1992;BRASIL;INSTRUCAO;BLUMENAU;RANCHO SUMIDOR;POUSO
39317;PPGOB;***;AVIAO;AERO BOERO;AB-115;PISTAO;MONOMOTOR;2;1993;BRASIL;INSTRUCAO;FORA DE AERODROMO;FORA DE AERODROMO;POUSO
39318;PTTAF;***;AVIAO;EMBRAER;EMB-110;TURBOELICE;BIMOTOR;1;1976;BRASIL;TAXI AEREO;VAL DE CANS / JULIO CEZAR RIBEIRO;WILMA REBELO;DESCIDA
39319;PRUGO;***;AVIAO;EMBRAER;EMB-810C;PISTAO;BIMOTOR;6;1981;BRASIL;PARTICULAR;SOROCABA;FAZENDA SANTA RITA;SUBIDA
39320;PTFNI;***;AVIAO;CESSNA AIRCRAFT;A188B;PISTAO;MONOMOTOR;1;1977;BRASIL;AGRICOLA;FORA DE AERODROMO;FORA DE AERODROMO;DECOLAGEM
39321;PTOHL;***;AVIAO;CESSNA AIRCRAFT;210N;PISTAO;MONOMOTOR;6;1981;BRASIL;PARTICULAR;FORA DE AERODROMO;FORA DE AERODROMO;POUSO
39322;PTYSG;***;HELICOPTERO;ROBINSON HELICOPTER;R44;PISTAO;MONOMOTOR;4;1997;BRASIL;ESPECIALIZADA;MERCEDES-BENZ DO BRASIL LTDA;FORA DE AERODROMO;DECOLAGEM
39323;PUMEL;EXPERIMENTAL;ULTRALEVE;***;MISTRAL 582C;PISTAO;MONOMOTOR;2;2000;BRASIL;EXPERIMENTAL;FORA DE AERODROMO;FORA DE AERODROMO;SUBIDA
39365;PRMAA;REGULAR;AVIAO;AIRBUS INDUSTRIE;A320-232;JATO;BIMOTOR;184;2001;BRASIL;REGULAR;FORA DE AERODROMO;FORA DE AERODROMO;DECOLAGEM
39367;PPGLS;INSTRUCAO;AVIAO;AERO BOERO;AB-115;PISTAO;MONOMOTOR;3;1992;BRASIL;INSTRUCAO;FORA DE AERODROMO;FORA DE AERODROMO;CORRIDA APOS POUSO
39385;PTNIJ;***;AVIAO;NEIVA INDUSTRIA AERONAUTICA;EMB-711C;PISTAO;MONOMOTOR;4;1976;BRASIL;PARTICULAR;NELSON RODRIGUES GUIMARAES;PRESIDENTE JUSCELINO KUBITSCHEK;POUSO
39386;PTMFU;REGULAR;AVIAO;AEROSPATIALE AND ALENIA;ATR-42-300;TURBOELICE;BIMOTOR;50;1987;BRASIL;REGULAR;FORA DE AERODROMO;FORA DE AERODROMO;CRUZEIRO
39405;PTUML;***;AVIAO;NEIVA INDUSTRIA AERONAUTICA;EMB-202;PISTAO;MONOMOTOR;1;2000;BRASIL;PARTICULAR;FORA DE AERODROMO;FORA DE AERODROMO;ESPECIALIZADA
39487;PRSAM;***;AVIAO;BEECH AIRCRAFT;F33A;PISTAO;MONOMOTOR;4;1994;BRASIL;PARTICULAR;SANTA GENOVEVA/GOIANIA;BRIGADEIRO LYSIAS RODRIGUES;POUSO
