id_ocorrencia;classificacao;cidade;uf;pais;data;num_recomendacoes
39115;ACIDENTE;CORRENTINA;BA;BRASIL;2010-02-07T17:40:00Z;2
39155;INCIDENTE;BELO HORIZONTE;MG;BRASIL;2010-02-05T12:55:00Z;0
39156;INCIDENTE GRAVE;CASCAVEL;PR;BRASIL;2010-01-10T23:15:00Z;2
39158;INCIDENTE;BELEM;PA;BRASIL;2010-01-28T16:00:00Z;0
39176;INCIDENTE;SAO LUIS;MA;BRASIL;2010-02-05T09:30:00Z;0
39178;INCIDENTE;CAMPINAS;SP;BRASIL;2010-02-08T12:33:00Z;0
39235;ACIDENTE;ITUMBIARA;GO;BRASIL;2010-02-06T17:20:00Z;3
39275;ACIDENTE;SAO PAULO;SP;BRASIL;2010-02-10T09:03:00Z;3
39295;ACIDENTE;RIO DE JANEIRO;RJ;BRASIL;2010-02-06T21:09:00Z;0
39315;ACIDENTE;CANUTAMA;AM;BRASIL;2010-01-15T21:22:00Z;0
39316;ACIDENTE;RIO DO OESTE;SC;BRASIL;2010-02-04T17:55:00Z;2
39317;ACIDENTE;RIO VERDE;GO;BRASIL;2010-02-24T13:00:00Z;0
39318;ACIDENTE;SENADOR JOSE PORFIRIO;PA;BRASIL;2010-01-25T16:20:00Z;5
39319;ACIDENTE;IPERO;SP;BRASIL;2010-01-27T11:25:00Z;3
39320;ACIDENTE;FAROL;PR;BRASIL;2010-01-19T18:30:00Z;4
39321;ACIDENTE;PONTES E LACERDA;MT;BRASIL;2010-01-23T13:00:00Z;2
39322;ACIDENTE;SAO BERNARDO DO CAMPO;SP;BRASIL;2010-01-26T13:50:00Z;2
39323;ACIDENTE;CASIMIRO DE ABREU;RJ;BRASIL;2010-01-24T16:15:00Z;0
39365;INCIDENTE;GOIANIA;GO;BRASIL;2010-02-12T16:48:00Z;0
39367;INCIDENTE;SAO JOSE DO RIO PRETO;SP;BRASIL;2010-02-07T22:59:00Z;0
39385;INCIDENTE GRAVE;BRASILIA;DF;BRASIL;2010-02-21T17:00:00Z;1
39386;INCIDENTE;SAO PAULO;SP;BRASIL;2010-02-18T10:10:00Z;0
39405;ACIDENTE;ITIQUIRA;MT;BRASIL;2010-02-07T11:30:00Z;1
39487;INCIDENTE GRAVE;PALMAS;TO;BRASIL;2010-01-26T16:50:00Z;0
39507;ACIDENTE;PRIMAVERA DO LESTE;MT;BRASIL;2010-01-11T17:00:00Z;2
39527;ACIDENTE;LUCAS DO RIO VERDE;MT;BRASIL;2010-01-04T17:30:00Z;0
39627;INCIDENTE;FLORIANOPOLIS;SC;BRASIL;2010-01-27T16:15:00Z;0
39687;INCIDENTE GRAVE;PORTO UNIAO;SC;BRASIL;2010-01-28T10:30:00Z;1
39707;INCIDENTE GRAVE;CANUTAMA;AM;BRASIL;2010-01-09T12:30:00Z;3
39709;INCIDENTE GRAVE;CURITIBA;PR;BRASIL;2010-01-23T16:36:00Z;2
39711;INCIDENTE GRAVE;PARA DE MINAS;MG;BRASIL;2010-01-10T20:00:00Z;0
39727;INCIDENTE GRAVE;VARZEA GRANDE;MT;BRASIL;2010-02-23T19:42:00Z;0
39747;INCIDENTE;CAIRU;BA;BRASIL;2010-01-31T19:47:00Z;4
39748;INCIDENTE;CAMBE;PR;BRASIL;2010-02-03T14:30:00Z;0
39768;INCIDENTE;CAMPINAS;SP;BRASIL;2010-01-21T20:45:00Z;0
39772;INCIDENTE;UBERLANDIA;MG;BRASIL;2010-01-20T18:58:00Z;0
39787;INCIDENTE;GOIANIA;GO;BRASIL;2010-01-31T21:00:00Z;0
39789;INCIDENTE;SAO PEDRO DO SUL;RS;BRASIL;2010-01-10T21:30:00Z;0
39807;INCIDENTE;SALVADOR;BA;BRASIL;2010-01-06T17:53:00Z;0
39809;INCIDENTE;SAO PAULO;SP;BRASIL;2010-01-15T15:00:00Z;0
39810;INCIDENTE;SALVADOR;BA;BRASIL;2010-01-15T18:23:00Z;0
39828;INCIDENTE;SANTOS;SP;BRASIL;2010-01-15T17:45:00Z;0
39847;INCIDENTE;SOROCABA;SP;BRASIL;2010-01-20T13:10:00Z;0
39848;INCIDENTE;GUARULHOS;SP;BRASIL;2010-01-25T17:05:00Z;0
39849;INCIDENTE;RIO DE JANEIRO;RJ;BRASIL;2010-01-23T03:30:00Z;0
39850;INCIDENTE;BELEM;PA;BRASIL;2010-01-26T14:30:00Z;0
39851;INCIDENTE;PASSO FUNDO;RS;BRASIL;2010-01-19T03:00:00Z;0
39887;ACIDENTE;BELO HORIZONTE;MG;BRASIL;2010-03-09T17:45:00Z;1
39910;INCIDENTE;GUARULHOS;SP;BRASIL;2010-03-08T00:49:00Z;0
39913;INCIDENTE GRAVE;CRUZEIRO DO SUL;AC;BRASIL;2010-03-10T06:17:00Z;3
39914;INCIDENTE;LONDRINA;PR;BRASIL;2010-03-09T21:00:00Z;0
39916;INCIDENTE GRAVE;MANAUS;AM;BRASIL;2010-03-07T19:35:00Z;2
39930;INCIDENTE GRAVE;CURITIBA;PR;BRASIL;2010-02-16T16:25:00Z;2
39933;ACIDENTE;BELO HORIZONTE;MG;BRASIL;2010-02-26T11:19:00Z;1
39967;INCIDENTE;TEIXEIRA DE FREITAS;BA;BRASIL;2010-02-11T15:01:00Z;0
39969;INCIDENTE;SALVADOR;BA;BRASIL;2010-02-09T23:50:00Z;4
39972;INCIDENTE;POCOS DE CALDAS;MG;BRASIL;2010-02-08T13:55:00Z;0
39987;INCIDENTE;RIO DE JANEIRO;RJ;BRASIL;2010-02-24T19:37:00Z;0
39988;INCIDENTE;CURITIBA;PR;BRASIL;2010-02-22T16:00:00Z;0
39992;ACIDENTE;SAO PAULO;SP;BRASIL;2010-02-17T20:07:00Z;11
39993;INCIDENTE GRAVE;LONDRINA;PR;BRASIL;2010-03-11T12:30:00Z;2
40027;INCIDENTE;BLUMENAU;SC;BRASIL;2010-03-15T21:05:00Z;0
40069;ACIDENTE;SAO PAULO;SP;BRASIL;2010-01-10T14:50:00Z;8
40087;ACIDENTE;ANAPOLIS;GO;BRASIL;2010-03-26T10:45:00Z;4
40088;ACIDENTE;UIRAMUTA;RR;BRASIL;2010-03-19T13:10:00Z;3
40089;ACIDENTE;VILA BELA DA SANTISSIMA TRINDADE;MT;BRASIL;2010-03-28T15:10:00Z;0
40107;ACIDENTE;GURUPA;PA;BRASIL;2010-01-12T14:30:00Z;0
40147;ACIDENTE;UNIAO DA VITORIA;PR;BRASIL;2010-04-08T14:20:00Z;3
40148;ACIDENTE;CAMPO GRANDE;MS;BRASIL;2010-03-19T19:30:00Z;1
40149;ACIDENTE;LUZIANIA;GO;BRASIL;2010-03-21T20:45:00Z;2
40150;INCIDENTE GRAVE;SANTA MARIA;RS;BRASIL;2010-03-10T17:20:00Z;0
40168;INCIDENTE;MONTES CLAROS;MG;BRASIL;2010-03-17T01:34:00Z;0
40170;INCIDENTE;MANAUS;AM;BRASIL;2010-03-20T11:00:00Z;0
40171;ACIDENTE;PORTO NACIONAL;TO;BRASIL;2010-04-07T18:45:00Z;2
40190;INCIDENTE;RIO DE JANEIRO;RJ;BRASIL;2010-04-06T02:35:00Z;3
40207;INCIDENTE;CRUZEIRO DO SUL;AC;BRASIL;2010-02-06T22:30:00Z;0
40209;INCIDENTE;RIO DE JANEIRO;RJ;BRASIL;2010-03-21T13:46:00Z;0
40210;INCIDENTE;RIO DE JANEIRO;RJ;BRASIL;2010-03-20T20:02:00Z;0
40211;INCIDENTE;RIO DE JANEIRO;RJ;BRASIL;2010-01-03T12:00:00Z;0
40212;INCIDENTE;UBERLANDIA;MG;BRASIL;2010-03-20T12:14:00Z;0
40213;INCIDENTE GRAVE;GOIANIA;GO;BRASIL;2010-04-09T21:00:00Z;1
40214;ACIDENTE;REDENCAO;PA;BRASIL;2010-04-12T19:30:00Z;1
40215;INCIDENTE;COARI;AM;BRASIL;2010-01-07T18:40:00Z;0
40227;INCIDENTE;AREALVA;SP;BRASIL;2010-04-12T14:03:00Z;0
40228;INCIDENTE;SAO JOSE DOS CAMPOS;SP;BRASIL;2010-04-12T17:17:00Z;0
40247;INCIDENTE;FLORIANOPOLIS;SC;BRASIL;2010-04-17T23:30:00Z;0
40248;INCIDENTE;PORTO ALEGRE;RS;BRASIL;2010-04-13T18:47:00Z;0
40250;ACIDENTE;LUZIANIA;GO;BRASIL;2010-04-08T20:00:00Z;0
