id_ocorrencia_t;tipo
39115;PANE SECA
39155;VAZAMENTO DE COMBUSTIVEL
39156;FOGO EM VOO
39158;SUPERAQUECIMENTO
39176;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE
39178;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE
39235;PERDA DE CONTROLE EM VOO
39275;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE
39295;PERDA DE CONTROLE EM VOO
39315;OUTROS
39316;POUSO ANTES DA PISTA
39317;POUSO BRUSCO
39318;FALHA DO MOTOR EM VOO
39319;PANE SECA
39320;PERDA DE CONTROLE EM VOO
39321;PERDA DE CONTROLE EM VOO
39322;PERDA DE CONTROLE EM VOO
39323;PERDA DE CONTROLE EM VOO
39365;COLISAO COM AVE
39367;PERDA DE CONTROLE NO SOLO
39385;POUSO SEM TREM
39386;FALHA DO MOTOR EM VOO
39405;PERDA DE CONTROLE EM VOO
39487;POUSO SEM TREM
39507;FALHA DO MOTOR EM VOO
39527;OPERACAO A BAIXA ALTITUDE
39627;F.O.D.
39687;FALHA DO MOTOR EM VOO
39707;COM TREM DE POUSO
39709;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE
39711;COM TREM DE POUSO
39727;COM TREM DE POUSO
39747;COLISAO COM OBSTACULO DURANTE A DECOLAGEM E POUSO
39748;COLISAO COM OBSTACULO DURANTE A DECOLAGEM E POUSO
39768;CAUSADO POR FENOMENO METEOROLOGICO EM VOO
39772;ESTOURO DE PNEU
39787;PERDA DE CONTROLE NO SOLO
39789;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE
39807;ESTOURO DE PNEU
39809;COLISAO COM AVE
39810;ESTOURO DE PNEU
39828;COLISAO COM AVE
39847;COLISAO COM OBSTACULOS NO SOLO
39848;CAUSADO POR FENOMENO METEOROLOGICO EM VOO
39849;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE
39850;COM TREM DE POUSO
39851;OUTROS
39887;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE
39910;COLISAO COM OBSTACULOS NO SOLO
39913;COM PARA-BRISAS / JANELA / PORTA
39913;EXCURSAO DE PISTA
39914;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE
39916;ESTOURO DE PNEU
39930;PROBLEMAS FISIOLOGICOS
39933;COLISAO COM OBSTACULO DURANTE A DECOLAGEM E POUSO
39967;FALHA DO MOTOR EM VOO
39969;FALHA DO MOTOR EM VOO
39972;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE
39987;ESTOURO DE PNEU
39988;ESTOURO DE PNEU
39992;EXCURSAO DE PISTA
39993;FALHA DO MOTOR EM VOO
40027;PERDA DE CONTROLE NO SOLO
40069;PERDA DE CONTROLE NO SOLO
40087;FALHA DO MOTOR EM VOO
40088;POUSO LONGO
40089;PERDA DE CONTROLE EM VOO
40107;COLISAO COM OBSTACULO DURANTE A DECOLAGEM E POUSO
40147;EXCURSAO DE PISTA
40147;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE
40148;PANE SECA
40149;FALHA DO MOTOR EM VOO
40150;COM TREM DE POUSO
40168;FALHA DO MOTOR EM VOO
40170;ESTOURO DE PNEU
40171;FALHA DO MOTOR EM VOO
40190;OUTROS
40207;TRAFEGO AEREO
40209;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE
40210;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE
40211;TRAFEGO AEREO
40212;FALHA DO MOTOR NO SOLO
40213;COM TREM DE POUSO
40214;POUSO EM LOCAL NAO PREVISTO
40215;TRAFEGO AEREO
40227;VAZAMENTO DE OUTROS FLUIDOS
40228;COLISAO COM AVE
40247;PERDA DE CONTROLE NO SOLO
40248;ESTOURO DE PNEU
40250;PERDA DE CONTROLE EM VOO
40251;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE
40258;COLISAO COM OBSTACULOS NO SOLO
40260;COLISAO COM AVE
40261;POUSO SEM TREM
40262;COLISAO COM OBSTACULOS NO SOLO
