ACTIVITY,TIME,SL,EEG,BP,HR,CIRCLUATION
3,4722.92,4019.64,-1600.0,13,79,317
2,4059.12,2191.03,-1146.08,20,54,165
2,4773.56,2787.99,-1263.38,46,67,224
4,8271.27,9545.98,-2848.93,26,138,554
4,7102.16,14148.8,-2381.15,85,120,809
5,7015.24,7336.79,-1699.8,22,95,427
3,8620.28,24949.9,-3198.06,35,157,1519
3,9238.73,39245.5,-2590.0,15,196,1885
0,12276.4,59742.0,-5101.0,56,249,2826
4,14165.5,140950.0,-1410.0,82,315,5844
0,7069.95,15336.6,-3000.09,81,133,847
5,10768.8,28521.0,-3732.37,61,214,1469
0,10255.7,66668.0,-6050.0,97,207,3048
0,6411.13,9698.0,-2686.0,59,104,652
4,8766.37,11524.1,-3270.78,44,156,654
3,9764.47,51960.7,-2510.0,16,188,2599
3,15208.6,90305.4,-2280.0,53,223,2059
0,6628.08,6490.83,-1923.04,23,100,485
0,7836.78,5545.0,-2661.0,41,126,371
0,10787.8,103850.0,-4705.0,85,237,4804
0,7347.39,13978.0,-3121.0,24,126,765
3,15563.6,110121.0,-6380.0,38,322,4619
2,5091.81,4269.08,-1520.0,10,79,317
3,3840.0,1433.37,-606.618,32,40,100
4,15435.0,144972.0,-5803.6,170,308,6057
2,13353.1,40216.5,-1760.0,43,234,1581
0,18609.3,300553.0,-12391.0,73,464,10829
3,12024.8,115245.0,-2020.0,47,235,4905
0,23099.1,280276.0,-13215.0,264,465,8741
2,8334.2,9499.81,-2868.48,97,130,490
4,11983.7,46065.4,-5543.47,49,273,2061
4,18072.9,161030.0,-8830.0,91,388,6290
0,13071.6,151812.0,-6450.0,66,284,6506
3,19248.1,162489.0,-10600.0,88,388,6290
0,19217.4,205811.0,-10695.0,61,390,6741
2,9714.1,33873.2,-2730.0,56,234,1581
4,4911.72,2837.21,-1207.83,47,67,224
3,12894.8,60525.0,-4780.0,25,247,2754
3,10721.5,38062.2,-4162.48,129,205,1751
4,10991.8,86042.1,-2960.0,18,220,3450
4,3736.8,1436.3,-634.175,33,40,100
0,5993.3,4806.0,-1941.0,18,111,345
0,20309.9,291719.0,-11688.0,242,487,10978
0,12888.4,171016.0,-6821.0,63,299,7334
3,7478.85,14147.7,-2295.22,90,120,809
0,17083.7,94618.0,-8497.0,92,365,3633
5,9883.77,40847.4,-2722.39,60,159,2181
3,5382.92,4179.02,-1499.3,122,88,318
4,9454.53,27663.8,-2981.07,101,158,1403
2,7325.19,9277.63,-3214.06,21,138,554
5,23999.8,456954.0,-12000.0,51,483,15505
5,10673.0,26600.5,-3313.23,28,174,1415
1,11059.1,68879.1,-5251.84,148,247,3373
2,16312.6,115767.0,-4260.0,55,271,4426
3,9434.08,38959.0,-4287.95,20,193,2118
4,9666.72,33029.0,-3402.85,87,176,1922
5,12626.8,72561.2,-5540.34,47,262,3211
3,20368.8,193489.0,-4900.0,93,403,6746
2,17021.5,164814.0,-7371.08,65,352,6744
0,12773.0,70843.0,-5725.0,29,210,2894
0,5205.31,4188.0,-2124.0,15,88,318
3,13768.3,50902.1,-4040.0,47,234,2464
0,20676.4,244148.0,-6136.0,48,368,5025
2,23848.5,469672.0,-10800.0,59,483,15505
3,9564.01,12121.7,-2630.01,92,136,619
2,20911.5,163006.0,-8730.0,93,449,5537
0,6766.37,7326.0,-2343.0,57,108,517
0,8754.11,27397.0,-4556.0,13,142,1255
4,10106.7,27928.0,-2735.9,76,158,1403
3,17682.4,174076.0,6300.0,66,403,6746
5,13123.6,78485.7,-5040.0,63,272,3539
4,6910.78,4085.64,-2288.24,70,101,249
